Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,8025.000000,8050.000000,7900.000000,7925.000000,7692.336914,30645700
2019-08-06,7800.000000,7950.000000,7550.000000,7825.000000,7595.272461,34999600
2019-08-07,7900.000000,8000.000000,7825.000000,7875.000000,7643.804688,28251500
2019-08-08,7900.000000,8150.000000,7875.000000,8125.000000,7886.464844,26336600
2019-08-09,8150.000000,8175.000000,7925.000000,7925.000000,7692.336914,20603300
2019-08-12,7950.000000,8000.000000,7800.000000,7925.000000,7692.336914,13145000
2019-08-13,7875.000000,7900.000000,7825.000000,7900.000000,7668.070801,18109100
2019-08-14,8000.000000,8125.000000,7950.000000,8100.000000,7862.199219,26547000
2019-08-15,7900.000000,8025.000000,7850.000000,8025.000000,7789.400879,17055000
2019-08-16,8025.000000,8100.000000,7900.000000,7925.000000,7692.336914,12853900
2019-08-19,8000.000000,8025.000000,7825.000000,7875.000000,7643.804688,10523700
2019-08-20,7925.000000,7925.000000,7725.000000,7750.000000,7522.474121,17175900
2019-08-21,7700.000000,7775.000000,7575.000000,7575.000000,7352.611816,18106500
2019-08-22,7625.000000,7725.000000,7475.000000,7600.000000,7376.877930,31284300
2019-08-23,7600.000000,7650.000000,7450.000000,7625.000000,7401.144043,17746100
2019-08-26,7475.000000,7525.000000,7375.000000,7500.000000,7279.813965,15136900
2019-08-27,7450.000000,7625.000000,7450.000000,7575.000000,7352.611816,23383200
2019-08-28,7600.000000,7625.000000,7525.000000,7600.000000,7376.877930,14951300
2019-08-29,7625.000000,7625.000000,7500.000000,7525.000000,7304.080078,21357900
2019-08-30,7575.000000,7700.000000,7575.000000,7700.000000,7473.942383,18235500
2019-09-02,7675.000000,7725.000000,7625.000000,7625.000000,7401.144043,10082000
2019-09-03,7650.000000,7675.000000,7325.000000,7450.000000,7231.281738,17408900
2019-09-04,7500.000000,7500.000000,7325.000000,7425.000000,7207.015625,24546300
2019-09-05,7500.000000,7575.000000,7450.000000,7525.000000,7304.080078,15745800
2019-09-06,7600.000000,7650.000000,7550.000000,7600.000000,7376.877930,18847700
2019-09-09,7600.000000,7625.000000,7500.000000,7550.000000,7328.346191,12673300
2019-09-10,7550.000000,7775.000000,7550.000000,7750.000000,7522.474121,19704800
2019-09-11,7750.000000,8000.000000,7750.000000,8000.000000,7765.134766,29592000
