Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4410.000000,4420.000000,4270.000000,4270.000000,4109.682617,150837200
2019-08-06,4100.000000,4210.000000,4020.000000,4100.000000,3946.065186,247636800
2019-08-07,4140.000000,4290.000000,4140.000000,4250.000000,4090.433350,146976400
2019-08-08,4250.000000,4320.000000,4250.000000,4290.000000,4128.931641,93336500
2019-08-09,4330.000000,4350.000000,4300.000000,4330.000000,4167.429688,82471300
2019-08-12,4380.000000,4380.000000,4290.000000,4300.000000,4138.556152,51057200
2019-08-13,4330.000000,4330.000000,4250.000000,4280.000000,4119.307129,80133600
2019-08-14,4330.000000,4350.000000,4310.000000,4330.000000,4167.429688,93273200
2019-08-15,4210.000000,4280.000000,4180.000000,4250.000000,4090.433350,115233200
2019-08-16,4250.000000,4260.000000,4200.000000,4210.000000,4051.935303,93606900
2019-08-19,4130.000000,4220.000000,4130.000000,4180.000000,4023.061523,60369000
2019-08-20,4180.000000,4200.000000,4090.000000,4100.000000,3946.065186,102619200
2019-08-21,4100.000000,4170.000000,4040.000000,4050.000000,3897.942383,84386400
2019-08-22,4060.000000,4140.000000,4000.000000,4070.000000,3917.191406,124079400
2019-08-23,4030.000000,4100.000000,4020.000000,4080.000000,3926.816162,58236900
2019-08-26,4020.000000,4070.000000,4000.000000,4070.000000,3917.191406,64788000
2019-08-27,4130.000000,4210.000000,4080.000000,4200.000000,4042.310547,178201800
2019-08-28,4220.000000,4240.000000,4190.000000,4190.000000,4032.686035,99957200
2019-08-29,4220.000000,4220.000000,4160.000000,4200.000000,4042.310547,68027100
2019-08-30,4190.000000,4270.000000,4120.000000,4270.000000,4109.682617,108998100
2019-09-02,4270.000000,4280.000000,4210.000000,4220.000000,4061.559814,68472900
2019-09-03,4180.000000,4270.000000,4130.000000,4150.000000,3994.187988,76155900
2019-09-04,4180.000000,4180.000000,4100.000000,4160.000000,4003.812500,76686000
2019-09-05,4220.000000,4230.000000,4180.000000,4220.000000,4061.559814,77131600
2019-09-06,4260.000000,4290.000000,4250.000000,4270.000000,4109.682617,114425200
2019-09-09,4290.000000,4290.000000,4170.000000,4170.000000,4013.437012,68317900
2019-09-10,4180.000000,4190.000000,4150.000000,4190.000000,4032.686035,69287000
2019-09-11,4150.000000,4260.000000,4150.000000,4250.000000,4090.433350,114308200
2019-09-12,4300.000000,4350.000000,4270.000000,4280.000000,4119.307129,87101400
2019-09-13,4320.000000,4320.000000,4280.000000,4310.000000,4148.180664,56092800
2019-09-16,4290.000000,4290.000000,4100.000000,4190.000000,4032.686035,132616600
2019-09-17,4160.000000,4250.000000,4130.000000,4250.000000,4090.433350,107125600
2019-09-18,4240.000000,4260.000000,4210.000000,4240.000000,4080.808838,76406800
2019-09-19,4200.000000,4230.000000,4200.000000,4220.000000,4061.559814,92108100
2019-09-20,4200.000000,4220.000000,4130.000000,4160.000000,4003.812500,217504200
2019-09-23,4160.000000,4200.000000,4160.000000,4180.000000,4023.061523,84900300
2019-09-24,4160.000000,4160.000000,4110.000000,4110.000000,3955.689697,95076200
2019-09-25,4070.000000,4120.000000,4020.000000,4080.000000,3926.816162,83155300
2019-09-26,4110.000000,4210.000000,4100.000000,4210.000000,4051.935303,80120800
2019-09-27,4210.000000,4210.000000,4160.000000,4180.000000,4023.061523,57666400
2019-09-30,4200.000000,4200.000000,4110.000000,4120.000000,3965.314209,76345500
2019-10-01,4120.000000,4130.000000,4070.000000,4070.000000,3917.191406,79550900
2019-10-02,4050.000000,4090.000000,3920.000000,3930.000000,3782.447754,166346200
2019-10-03,3870.000000,3890.000000,3810.000000,3810.000000,3666.953125,177625500
2019-10-04,3880.000000,3960.000000,3860.000000,3950.000000,3801.697021,93849800
2019-10-07,3970.000000,3990.000000,3860.000000,3900.000000,3753.574219,126705700
2019-10-08,3960.000000,3960.000000,3890.000000,3930.000000,3782.447754,119796000
2019-10-09,3950.000000,3990.000000,3920.000000,3960.000000,3811.321533,117832100
2019-10-10,3970.000000,3990.000000,3880.000000,3890.000000,3743.949707,107857100
2019-10-11,3950.000000,3960.000000,3910.000000,3920.000000,3772.823242,102206600
2019-10-14,3950.000000,3980.000000,3910.000000,3920.000000,3772.823242,109782800
2019-10-15,3970.000000,3970.000000,3890.000000,3940.000000,3792.072266,128090900
2019-10-16,3960.000000,3990.000000,3940.000000,3990.000000,3840.195068,82010000
2019-10-17,4000.000000,4050.000000,3990.000000,4050.000000,3897.942383,104547000
2019-10-18,4050.000000,4190.000000,4050.000000,4170.000000,4013.437012,103613400
2019-10-21,4170.000000,4190.000000,4110.000000,4120.000000,3965.314209,81121300
2019-10-22,4080.000000,4140.000000,4070.000000,4140.000000,3984.563232,82586400
2019-10-23,4150.000000,4180.000000,4080.000000,4180.000000,4023.061523,127172900
2019-10-24,4180.000000,4300.000000,4180.000000,4300.000000,4138.556152,157022200
2019-10-25,4300.000000,4320.000000,4220.000000,4230.000000,4071.184326,112296600
2019-10-28,4230.000000,4260.000000,4220.000000,4230.000000,4071.184326,38352600
2019-10-29,4240.000000,4250.000000,4180.000000,4230.000000,4071.184326,82494100
2019-10-30,4260.000000,4260.000000,4190.000000,4250.000000,4090.433350,47442000
2019-10-31,4210.000000,4240.000000,4160.000000,4210.000000,4051.935303,75586200
2019-11-01,4220.000000,4220.000000,4150.000000,4180.000000,4023.061523,63281400
2019-11-04,4180.000000,4210.000000,4150.000000,4160.000000,4003.812500,50272200
2019-11-05,4190.000000,4300.000000,4170.000000,4300.000000,4138.556152,132545000
2019-11-06,4330.000000,4330.000000,4160.000000,4160.000000,4003.812500,132500400
2019-11-07,4160.000000,4160.000000,3960.000000,4000.000000,3849.819580,292323600
2019-11-08,4010.000000,4030.000000,3980.000000,3990.000000,3840.195068,134618100
2019-11-11,3950.000000,4000.000000,3950.000000,4000.000000,3849.819580,114079500
2019-11-12,4000.000000,4030.000000,3980.000000,4000.000000,3849.819580,109775100
2019-11-13,4000.000000,4010.000000,3920.000000,3960.000000,3811.321533,150088500
2019-11-14,3950.000000,3970.000000,3900.000000,3940.000000,3792.072266,118066000
2019-11-15,4000.000000,4100.000000,3960.000000,4090.000000,3936.440674,122007300
2019-11-18,4090.000000,4140.000000,4050.000000,4120.000000,3965.314209,93147500
2019-11-19,4150.000000,4190.000000,4080.000000,4190.000000,4032.686035,141181200
